idx_way;idx_node_OSM;idx_node;lon;lat;tile_x;tile_y;way_type
920869674;7591793584;0;6,69773;53,461922;8496;5301;service
920869672;1095479053;1;6,70465;53,462109;8497;5301;service
920869672;8549610312;2;6,719698;53,463393;8497;5301;service
920869674;8549610313;3;6,716636;53,463567;8497;5301;service
920869672;996870817;4;6,73006;53,464243;8498;5301;service
920869677;8549612517;5;6,729981;53,464697;8498;5301;service
920869672;996870825;6;6,745441;53,465385;8498;5301;service
920869677;8549612520;7;6,744143;53,465739;8498;5301;service
423241233;6644134043;8;6,767402;53,462702;8499;5301;cycleway
138582299;996870836;9;6,765686;53,462796;8499;5301;service
920869678;8549612538;10;6,764124;53,463548;8499;5301;service
85882598;3759597763;11;6,751741;53,464918;8499;5301;unclassified
920869672;6644134035;12;6,747386;53,465372;8499;5301;service
920869677;8549612521;13;6,746105;53,465768;8499;5301;service
138582299;1095479294;14;6,768633;53,462196;8500;5301;service
366589519;5509592153;15;6,812615;53,461936;8502;5301;tertiary
671668852;4949717084;16;6,814035;53,462014;8502;5301;service
366589519;289454457;17;6,816787;53,462025;8502;5301;tertiary
504887198;5509606038;18;6,816603;53,46227;8502;5301;service
504887198;4949848236;19;6,812683;53,462393;8502;5301;service
920793729;8549176938;20;6,812949;53,462886;8502;5301;service
920793729;8549176937;21;6,814611;53,463071;8502;5301;service
381960375;8549883745;22;6,63804;53,448927;8494;5302;service
381960374;8549883751;23;6,640944;53,449245;8494;5302;service
381960374;5178195395;24;6,655476;53,452621;8494;5302;service
381960375;3851660124;25;6,656332;53,45317;8494;5302;service
381960374;8549883772;26;6,658262;53,45321;8495;5302;service
6354285;9861297908;27;6,671464;53,453281;8495;5302;unclassified
381960375;8549883773;28;6,658365;53,453595;8495;5302;service
85881755;996864677;29;6,67873;53,458349;8495;5302;service
920869671;8549610249;30;6,679481;53,458936;8495;5302;service
764604853;48493893;31;6,70098;53,45782;8496;5302;service
85881755;1095479161;32;6,680193;53,45869;8496;5302;service
920869671;8549610250;33;6,680438;53,459133;8496;5302;service
920869671;8549610274;34;6,695971;53,461765;8496;5302;service
920869672;48494737;35;6,700647;53,461772;8496;5302;service
812784013;7591793583;36;6,698611;53,461825;8496;5302;service
764604853;48494005;37;6,70389;53,45811;8497;5302;service
138582294;48494575;38;6,72015;53,46043;8497;5302;unclassified
6354293;48493186;39;6,744489;53,455796;8498;5302;service
138582294;48494596;40;6,743457;53,460507;8498;5302;unclassified
138582294;48494608;41;6,7245;53,46068;8498;5302;unclassified
6355717;48490918;42;6,74854;53,44949;8499;5302;unclassified
6353044;48491834;43;6,76753;53,45193;8499;5302;service
6354293;48493147;44;6,746361;53,455603;8499;5302;service
6354283;48494224;45;6,757696;53,459037;8499;5302;unclassified
138582294;48494548;46;6,747863;53,46018;8499;5302;unclassified
6353065;48491382;47;6,772616;53,450759;8500;5302;service
6353044;48491413;48;6,772349;53,450823;8500;5302;service
6353018;48491641;49;6,788809;53,451427;8500;5302;unclassified
6354283;48493258;50;6,772852;53,456074;8500;5302;unclassified
138582299;1038448149;51;6,788518;53,456705;8500;5302;service
423241233;4229174729;52;6,777179;53,4607;8500;5302;cycleway
920869678;8549612539;53;6,772296;53,461876;8500;5302;service
138582299;1095479352;54;6,770135;53,461884;8500;5302;service
843940663;8978210509;55;6,794957;53,448881;8501;5302;service
676280084;6333300161;56;6,805834;53,448946;8501;5302;service
6353081;7872550548;57;6,79509;53,449004;8501;5302;unclassified
6353030;48490766;58;6,80884;53,449065;8501;5302;service
508702812;4979600437;59;6,805109;53,449067;8501;5302;service
508702811;4979600435;60;6,805031;53,449108;8501;5302;service
372402116;4979600434;61;6,804533;53,449323;8501;5302;service
208731229;4903612062;62;6,792922;53,449369;8501;5302;cycleway
747850116;48490950;63;6,793886;53,449464;8501;5302;tertiary
6352790;48490920;64;6,810974;53,449489;8501;5302;unclassified
6353018;48491151;65;6,793196;53,449738;8501;5302;unclassified
508702813;7454909830;66;6,801476;53,449755;8501;5302;service
6352899;48491158;67;6,811146;53,449891;8501;5302;unclassified
1064627722;9777554138;68;6,811458;53,450295;8501;5302;service
1064627722;9777554128;69;6,811399;53,450457;8501;5302;service
508495989;4977968747;70;6,810254;53,453009;8501;5302;service
138582299;1095479109;71;6,791085;53,455758;8501;5302;service
241637385;2492324774;72;6,811375;53,456017;8501;5302;service
26418591;289454400;73;6,811376;53,456795;8501;5302;unclassified
920793729;8549176939;74;6,80342;53,457664;8501;5302;service
366589519;5157629827;75;6,811497;53,461484;8501;5302;tertiary
504887198;4949848249;76;6,811144;53,461556;8501;5302;service
6352899;48490700;77;6,81683;53,44892;8502;5302;unclassified
6352899;48491018;78;6,812463;53,449668;8502;5302;unclassified
1064627722;9777554137;79;6,811589;53,45031;8502;5302;service
1064627722;9777554139;80;6,811715;53,451147;8502;5302;service
508495989;4977968750;81;6,812686;53,452604;8502;5302;service
566464568;5458236820;82;6,833476;53,452883;8502;5302;service
566464568;289454414;83;6,833423;53,453295;8502;5302;service
241637385;2492324749;84;6,811568;53,456139;8502;5302;service
26418591;9227572704;85;6,811554;53,456785;8502;5302;unclassified
920793729;8549176936;86;6,825898;53,460304;8502;5302;service
366589519;9563551835;87;6,819325;53,461393;8502;5302;tertiary
366589519;289454449;88;6,811889;53,461703;8502;5302;tertiary
671668852;6807958483;89;6,814076;53,461878;8502;5302;service
504887198;4949848246;90;6,818227;53,461884;8502;5302;service
366589519;5145848385;91;6,812362;53,461888;8502;5302;tertiary
797111205;7454912056;92;6,855418;53,449;8503;5302;service
510556583;7454912033;93;6,851519;53,449089;8503;5302;service
962857747;8906737522;94;6,839796;53,449112;8503;5302;service
510556580;4995509012;95;6,852858;53,449393;8503;5302;service
962857747;8906737551;96;6,850386;53,44957;8503;5302;service
797111218;7454912082;97;6,85539;53,450044;8503;5302;service
510556577;7454912080;98;6,854879;53,450849;8503;5302;service
310392289;3158113038;99;6,854976;53,452591;8503;5302;unclassified
566464568;289454415;100;6,833547;53,453045;8503;5302;service
